1 [0, 4] -68.33000000000001 99 149914 12749
2 [2, 8] 8.064999999999994 75 164798 13303
3 [4, 8] -12.540000000000017 74 165047 13310
4 [0, 7] 29.325000000000006 59 166251 13359
5 [0, 7] -39.46999999999999 75 167801 13420
6 [4, 8] 26.265 62 167905 13422
7 [2, 8] 61.63500000000001 63 171455 13545
8 [2, 8] 30.869999999999997 56 172664 13586
9 [4, 8] 49.185 59 172890 13596
10 [0, 7] 25.19000000000001 55 173132 13612
11 [2, 8] 44.144999999999996 55 173218 13615
12 [4, 8] 72.415 56 173926 13647
13 [4, 8] 32.629999999999995 66 174583 13666
14 [5, 8] 42.08 53 175817 13701
15 [4, 8] 10.204999999999988 62 176355 13728
16 [4, 8] 48.13000000000002 51 177049 13754
17 [4, 8] 62.18500000000001 57 178467 13792
18 [2, 8] 56.21500000000002 58 178525 13793
19 [2, 8] 53.915000000000006 50 179149 13823
20 [2, 8] 23.169999999999998 57 179213 13825
21 [5, 8] 15.005000000000003 51 179274 13827
22 [2, 8] -18.069999999999997 78 179430 13832
23 [5, 8] 61.070000000000014 52 179765 13843
24 [5, 8] -12.189999999999998 74 180493 13864
25 [5, 8] 14.155 57 180878 13872
26 [5, 8] 41.985 52 181085 13879
27 [5, 8] 30.79999999999999 46 181471 13895
28 [2, 8] 19.110000000000007 59 181585 13899
29 [5, 8] 63.105000000000004 54 182344 13920
30 [5, 8] -2.455 71 182617 13943
31 [4, 8] 68.94500000000001 46 182798 13947
32 [4, 8] 27.005 63 183166 13967
33 [4, 8] 13.31999999999999 58 183325 13972
34 [5, 8] 29.364999999999995 63 184162 14005
35 [5, 8] 51.334999999999994 57 184542 14014
36 [5, 8] 27.969999999999995 81 184692 14019
37 [3, 8] 44.235 56 185205 14036
38 [5, 8] 45.185 53 185323 14040
39 [4, 8] 44.28499999999999 54 185377 14041
40 [2, 8] 11.679999999999986 67 185728 14051
41 [5, 8] 39.03 56 186110 14063
42 [4, 8] 46.970000000000006 50 186471 14080
43 [5, 8] 45.15500000000001 50 187013 14098
44 [4, 8] 50.535000000000004 62 187793 14117
45 [5, 8] 59.95500000000001 46 187885 14121
46 [5, 8] 15.959999999999994 51 187959 14124
47 [5, 8] 42.25000000000001 62 188021 14125
48 [5, 8] 44.644999999999996 46 188661 14144
49 [4, 8] -76.10500000000002 132 189243 14162
50 [2, 8] 47.59 65 189462 14169
51 [5, 8] 40.279999999999994 59 189591 14172
52 [5, 8] 42.640000000000015 74 189926 14178
53 [4, 8] 31.840000000000014 72 190723 14209
54 [5, 8] 25.640000000000004 69 190993 14211
55 [2, 8] 64.26 53 191630 14224
56 [4, 8] 7.895000000000002 51 191749 14229
57 [0, 7] -13.115000000000002 75 191875 14234
58 [3, 8] 23.224999999999994 58 192089 14241
59 [5, 8] 37.05499999999999 51 192241 14245
60 [5, 8] 32.010000000000005 53 192480 14250
61 [5, 8] 35.36 58 193156 14275
62 [5, 8] 42.430000000000014 61 193412 14288
63 [3, 8] 52.035000000000004 48 193896 14307
64 [5, 8] 35.705 68 193969 14309
65 [5, 8] 24.474999999999994 64 194205 14315
66 [3, 8] -18.890000000000043 128 194415 14320
67 [4, 8] 36.18999999999999 56 194484 14323
68 [2, 8] 30.004999999999992 55 194604 14325
69 [0, 8] -106.59500000000001 111 194789 14328
70 [4, 8] 19.514999999999997 71 195070 14333
71 [0, 7] 13.48 63 195205 14337
72 [0, 7] 23.98000000000001 53 195462 14341
73 [3, 8] -13.810000000000006 89 195807 14347
74 [5, 8] -62.96500000000003 136 196096 14352
75 [5, 8] -24.035000000000004 55 196302 14357
76 [4, 8] 5.889999999999992 66 196385 14359
77 [4, 8] 42.245 55 196849 14378
78 [2, 8] -0.4300000000000068 91 198441 14429
79 [3, 8] -38.33000000000001 110 198761 14440
80 [0, 6] 18.950000000000003 76 199525 14469
81 [2, 8] 48.675000000000004 43 199619 14477
82 [2, 8] 22.429999999999986 61 199766 14480
83 [4, 8] 55.215 54 199918 14483
84 [4, 8] 50.42000000000001 62 200064 14485
85 [4, 8] 48.98500000000001 48 200907 14518
86 [5, 8] 41.36 56 201233 14529
87 [4, 8] 54.49500000000001 59 202063 14558
88 [5, 8] 79.08999999999999 48 202205 14561
89 [5, 8] 24.879999999999995 55 202278 14564
90 [0, 7] 20.92 47 202394 14568
91 [5, 8] 42.07 54 202643 14576
92 [4, 8] 48.985 49 202692 14577
93 [5, 8] 16.94499999999999 66 202826 14582
94 [5, 8] 56.07000000000001 51 202986 14588
95 [5, 8] 29.38 60 203065 14592
96 [5, 8] 27.844999999999995 62 203911 14617
97 [3, 8] 52.25 55 204430 14633
98 [3, 8] 64.14500000000001 55 205317 14659
99 [0, 7] -75.68 112 205755 14671
100 [4, 8] 62.91000000000001 70 206410 14692
101 [0, 7] 29.31 59 206870 14708
102 [4, 8] 43.830000000000005 73 207454 14723
103 [0, 7] 19.560000000000006 67 207724 14733
104 [5, 8] 38.18000000000001 55 208420 14748
105 [3, 8] 36.715 45 208516 14750
106 [4, 8] 34.235 55 208604 14753
107 [5, 8] 57.220000000000006 51 208995 14769
108 [4, 8] 45.230000000000004 56 209136 14773
109 [5, 8] 80.895 44 209292 14775
110 [5, 8] 53.230000000000004 54 209346 14776
111 [3, 8] 38.87 73 209935 14791
112 [2, 8] 11.31999999999999 94 210928 14821
113 [5, 8] 61.06000000000001 50 211119 14832
114 [5, 8] 27.10499999999999 53 211225 14836
115 [3, 8] 63.850000000000016 72 211486 14842
116 [4, 8] 42.67500000000002 60 211546 14843
117 [2, 8] 50.29 55 211601 14844
118 [4, 8] 40.74999999999999 42 211899 14850
119 [5, 8] 61.540000000000006 58 212448 14861
120 [5, 8] 72.67500000000001 43 213077 14882
121 [4, 8] 36.959999999999994 50 213305 14889
122 [5, 8] 60.455 61 213900 14911
123 [5, 8] 74.36500000000001 54 213968 14913
124 [2, 8] -6.695000000000043 108 214086 14915
125 [3, 8] 38.91999999999999 48 214363 14925
126 [0, 7] 5.909999999999996 50 215035 14941
127 [5, 8] 53.25 54 215147 14945
128 [5, 8] 31.829999999999995 46 215431 14951
129 [2, 8] 11.529999999999983 63 216239 14970
130 [3, 8] 32.624999999999986 65 216808 14987
131 [3, 8] 59.37000000000001 38 216956 14990
132 [2, 8] 13.010000000000002 57 217848 15009
133 [5, 8] 12.260000000000012 81 218060 15015
134 [3, 8] 39.485 63 218717 15036
135 [5, 8] 68.07000000000001 49 219027 15046
136 [5, 8] 63.35000000000001 55 219723 15071
137 [3, 8] 37.955 49 220143 15084
138 [4, 8] 58.570000000000014 60 220564 15090
139 [3, 8] 47.22000000000001 52 220671 15092
140 [5, 8] -145.16500000000002 132 221623 15117
141 [4, 8] 46.61000000000001 46 221740 15122
142 [5, 8] 46.98 63 222228 15134
143 [2, 8] -12.86000000000001 59 222443 15141
144 [5, 8] 45.34500000000001 61 222517 15143
145 [5, 8] 30.804999999999996 74 223566 15176
146 [3, 8] 45.95500000000001 48 223651 15181
147 [4, 8] 58.94500000000001 46 223891 15189
148 [3, 8] 67.965 48 224831 15219
149 [3, 8] 63.77500000000003 68 225090 15227
150 [5, 8] 54.275 55 225481 15236
151 [3, 8] 43.17499999999999 56 225981 15247
152 [4, 8] 28.584999999999994 42 226023 15248
153 [5, 8] 56.91 49 226263 15257
154 [4, 8] 69.005 49 226372 15260
155 [3, 8] 41.43000000000001 62 226434 15261
156 [2, 8] 34.32000000000001 65 226610 15268
157 [3, 8] 19.395000000000003 60 226755 15271
158 [5, 8] 18.085 56 227377 15286
159 [3, 8] 30.17499999999999 61 227638 15293
160 [4, 8] 54.25500000000002 54 228055 15302
161 [5, 8] 71.94999999999999 45 228133 15304
162 [2, 8] 73.275 56 228641 15322
163 [5, 8] 40.9 47 228691 15324
164 [4, 8] 79.06 48 228858 15330
165 [4, 8] 71.52000000000001 60 229185 15342
166 [5, 8] -85.01500000000014 129 229453 15351
167 [3, 8] 49.589999999999996 40 229587 15357
168 [3, 8] -7.849999999999991 74 229787 15363
169 [4, 8] 55.095000000000006 50 229892 15366
170 [4, 8] 54.075 50 230149 15371
171 [3, 8] 51.80499999999998 67 230356 15381
172 [4, 8] 34.129999999999995 56 231328 15414
173 [5, 8] 33.24999999999999 57 231488 15420
174 [5, 8] 63.37500000000001 56 231890 15425
175 [3, 8] 38.785 46 232397 15435
176 [5, 8] 65.335 59 232456 15436
177 [0, 4] 26.675000000000004 51 232538 15438
178 [2, 8] 42.20499999999999 55 232839 15448
179 [5, 8] 60.74 71 233332 15462
180 [4, 8] 22.240000000000002 85 233424 15464
181 [5, 8] 9.514999999999995 101 233837 15472
182 [2, 8] 26.974999999999998 53 234235 15481
183 [3, 8] 47.365 45 234537 15494
184 [4, 8] 54.25500000000001 55 234592 15495
185 [5, 8] 71.86000000000001 45 234919 15508
186 [3, 8] 64.26500000000001 55 235298 15520
187 [5, 8] 68.53500000000001 60 235584 15532
188 [0, 7] 49.27500000000001 52 235799 15539
189 [3, 8] 57.91 46 235845 15540
190 [0, 7] 41.230000000000004 61 236176 15551
191 [5, 8] 14.135000000000002 84 236446 15554
192 [4, 8] -23.789999999999985 73 236955 15570
193 [5, 8] 63.10000000000001 52 237007 15571
194 [4, 8] 8.974999999999998 85 237218 15575
195 [5, 8] 32.245 57 237566 15585
